CalyptoResourceStats

      total        good         bad |       total         max        good         bad | name
         0x | FlopInfo::NumFinalFlopsInFaninImpl
         1x | FlopInfo::NumFinalFlopsInFaninSpec
         0x | FlopInfo::NumFinalFlopsInFaninWithResetImpl
         1x | FlopInfo::NumFinalFlopsInFaninWithResetSpec
         0x | FlopInfo::NumOrigFlopsInFaninImpl
         1x | FlopInfo::NumOrigFlopsInFaninSpec
         0x | MultiThreaded::SatExtABC::NumProbsAborted
         0x | MultiThreaded::SatExtABC::NumProbsFalsified
         0x | MultiThreaded::SatExtABC::NumProbsPosed
         0x | MultiThreaded::SatExtABC::NumProbsProved
         0x | SAT::NumProbsAborted
         0x | SAT::NumProbsFalsified
         0x | SAT::NumProbsPosed
         0x | SAT::NumProbsProved
         0x | WLS::NumProbsAborted
         0x | WLS::NumProbsFalsified
         0x | WLS::NumProbsPosed
         0x | WLS::NumProbsProved


=== Resources Used ==================================================================================================================================

         1x                         |        5.8s        5.8s                         | TOP
         0x                         |        0.0s                                     | TOP::CASE_SPLIT
        36x                         |        0.0s        0.0s                         | TOP::CGEN_GENERATE_COMPONENT
      5057x                         |        0.0s        0.0s                         | TOP::CMDs
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__add_independent_clock_enables
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__apply_always_constant
         6x                         |        0.0s        0.0s                         | TOP::CMDs::__cdb_exists
         2x                         |        0.0s        0.0s                         | TOP::CMDs::__has_inout
         2x                         |        0.0s        0.0s                         | TOP::CMDs::__process_hier_power_models
         1x                         |        0.0s        0.0s                         | TOP::CMDs::__process_independent_clock_enables
         2x                         |        0.0s        0.0s                         | TOP::CMDs::__set_hierarchy
         4x                         |        0.0s        0.0s                         | TOP::CMDs::_bitblast_clock_tree
         4x                         |        0.0s        0.0s                         | TOP::CMDs::_buf_rm
         4x                         |        0.0s        0.0s                         | TOP::CMDs::_compute_clock_info
         2x                         |        0.0s        0.0s                         | TOP::CMDs::_constprop_clkindata
         9x                         |        0.0s        0.0s                         | TOP::CMDs::_count_message
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_db_move_async_reset
         2x                         |        0.0s        0.0s                         | TOP::CMDs::_db_move_clkgate
         2x                         |        0.0s        0.0s                         | TOP::CMDs::_deadcode_elim
         2x                         |        0.0s        0.0s                         | TOP::CMDs::_defer_messages
         3x                         |        0.0s        0.0s                         | TOP::CMDs::_feature_marker
         6x                         |        0.0s        0.0s                         | TOP::CMDs::_get_new_mods
         3x                         |        0.0s        0.0s                         | TOP::CMDs::_get_set_constant
         6x                         |        0.0s        0.0s                         | TOP::CMDs::_get_state
       113x                         |        0.0s        0.0s                         | TOP::CMDs::_get_user_level
         2x                         |        0.0s        0.0s                         | TOP::CMDs::_identify_clock_computing_flops_and_latches
         2x                         |        0.0s        0.0s                         | TOP::CMDs::_infer_muxlatch
       772x                         |        0.0s        0.0s                         | TOP::CMDs::_issue_msg
        32x                         |        0.0s        0.0s                         | TOP::CMDs::_log_env_access
         2x                         |        0.0s        0.0s                         | TOP::CMDs::_mem_cell_2_mem_mod
         2x                         |        0.0s        0.0s                         | TOP::CMDs::_merge_cdbmerge_node
         8x                         |        0.0s        0.0s                         | TOP::CMDs::_normalize_path
         2x                         |        0.0s        0.0s                         | TOP::CMDs::_open_logfile
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_preprocess_clock_tree
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_print_black_boxes
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_process_all_symbconst
         2x                         |        0.0s        0.0s                         | TOP::CMDs::_process_cgic
         1x                         |        0.0s        0.0s                         | TOP::CMDs::_process_symbolically_mapped_flop_resets
         2x                         |        0.0s        0.0s                         | TOP::CMDs::_reduce_comparators
         2x                         |        0.0s        0.0s                         | TOP::CMDs::_remove_transparent_latch
         2x                         |        0.0s        0.0s                         | TOP::CMDs::_rename_operators
         2x                         |        0.0s        0.0s                         | TOP::CMDs::_replace_float_shells
